preprocessing_method,model_type,final_status,total_profit_usd,total_loss_usd,net_profit_usd,return_pct,win_rate_pct,total_trades,winning_trades,losing_trades,ml_accuracy_pct,ml_precision_pct,ml_f1_score_pct
FRACDIFF,LIGHTGBM,LOSS ❌,613.84,-934.59,-320.75,-3.21,28.7,115,33,82,72.36,63.09,61.73
FRACDIFF,XGBOOST,LOSS ❌,613.84,-934.59,-320.75,-3.21,28.7,115,33,82,72.29,63.32,61.51
GAUSSIAN,LIGHTGBM,LOSS ❌,483.43,-729.26,-245.83,-2.46,28.89,90,26,64,72.34,61.9,61.38
GAUSSIAN,XGBOOST,LOSS ❌,483.43,-729.26,-245.83,-2.46,28.89,90,26,64,72.34,61.95,61.31
LOG,XGBOOST,LOSS ❌,557.89,-797.71,-239.82,-2.4,30.0,100,30,70,72.36,65.08,61.32
LOG,LIGHTGBM,LOSS ❌,557.89,-797.71,-239.82,-2.4,30.0,100,30,70,72.34,63.61,61.46
MINMAX,LIGHTGBM,LOSS ❌,483.49,-797.71,-314.22,-3.14,27.08,96,26,70,72.37,62.9,61.49
MINMAX,XGBOOST,LOSS ❌,483.49,-797.71,-314.22,-3.14,27.08,96,26,70,72.36,65.98,61.35
NONE,LIGHTGBM,LOSS ❌,613.67,-786.37,-172.69,-1.73,32.35,102,33,69,72.35,62.66,61.49
NONE,XGBOOST,LOSS ❌,613.67,-786.37,-172.69,-1.73,32.35,102,33,69,72.31,65.54,61.29
ROBUST,XGBOOST,LOSS ❌,464.87,-752.08,-287.2,-2.87,27.47,91,25,66,72.34,65.81,61.31
ROBUST,LIGHTGBM,LOSS ❌,464.87,-752.08,-287.2,-2.87,27.47,91,25,66,72.28,61.39,61.31
WINSORIZE,XGBOOST,LOSS ❌,427.62,-843.25,-415.63,-4.16,23.71,97,23,74,72.31,61.01,61.31
WINSORIZE,LIGHTGBM,LOSS ❌,427.62,-843.25,-415.63,-4.16,23.71,97,23,74,72.3,61.53,61.36
