method,leakage_check,reversibility_check,edge_case_check,overall_status
NONE,Pass (Isolated Fit),Pass (Identity),"Pass (0 NaN, 0 Inf)",✅ PASS
STANDARD,Pass (Isolated Fit),Pass (Diff: 7.3e-12),"Pass (0 NaN, 0 Inf)",✅ PASS
ROBUST,Pass (Isolated Fit),Pass (Diff: 7.3e-12),"Pass (0 NaN, 0 Inf)",✅ PASS
MINMAX,Pass (Isolated Fit),Pass (Diff: 1.5e-11),"Pass (0 NaN, 0 Inf)",✅ PASS
FRACDIFF,Pass (Isolated Fit),By Design (Differencing),"Pass (0 NaN, 0 Inf)",✅ PASS
WINSORIZE,Pass (Isolated Fit),By Design (Outlier Clip),"Pass (0 NaN, 0 Inf)",✅ PASS
LOG,Pass (Isolated Fit),Pass (Diff: 1.2e-10),"Pass (0 NaN, 0 Inf)",✅ PASS
ROLLING_ZSCORE,Pass (Isolated Fit),By Design (Window/Smooth),"Pass (0 NaN, 0 Inf)",✅ PASS
MAD_SCALER,Pass (Isolated Fit),Pass (Diff: 7.3e-12),"Pass (0 NaN, 0 Inf)",✅ PASS
TANH_CLEAN,Pass (Isolated Fit),By Design (Outlier Clip),"Pass (0 NaN, 0 Inf)",✅ PASS
